Path URL,Entity,HTTP Methods,Description,Success Response
"/api/films/post
  ",Film,POST,Add new Film object in DB,"String: Record Created Successfully
  "
"/api/films/title/{title}
  ",Film,GET,Search Films by Title,"Collection of Films
  "
"/api/films/year/{year}
  ",Film,GET,Search Films by Release Year,"Collection of Films
  "
"/api/films/duration/gt/{rd}
  ",Film,GET,Search Films where Rental Duration is greater than {rd},"Collection of Films
  "
"  /api/films/rate/gt/{rate}
  ",Film,GET,Search Films where Rental Rate is greater than {rate},Collection of Films
"/api/films/length/gt/{length}
  ",Film,GET,Search Films where Length is greater than {length},"Collection of Films
  "
"/api/films/duration/lt/{rd}
  ",Film,GET,Search Films where Rental Duration is lower than {rd},"Collection of Films
  "
"/api/films/rate/lt/{rate}
  ",Film,GET,Search Films where Rental Rate  is lower than {rate},"Collection of Films
  "
"/api/films/length/lt/{length}
  ",Film,GET,Search Films where Length is  lower than {length},"Collection of Films
  "
/api/films/betweenyear/{from}/{to},Film,GET,Search  Films which are Released between {from} and {to},"Collection of Films
  "
"/api/films/rating/lt/{rating}
  ",Film,GET,Search Films where Rating is lower than {rating},"Collection of Films
  "
"/api/films/rating/gt/{rating}
  ",Film,GET,Search Films where Rating is  greater than {rating},"Collection of Films
  "
/api/films/language/{lang},Film,GET,Search Films where Language is {lang},"Collection of Films
  "
/api/films/countbyyear,Film,GET,Display number of Films released  by each Year,"Year & Count of Films 
  "
/api/films/{id}/actors,Film,GET,Find all Actors of a Film by Film id,"Collection of Actors
  "
/api/films/category/{category},Film,GET,Find all Films of specified  {category},"Collection of Films
  "
"/api/films/{id}/actor
  ",Film,PUT,Assign  Actor to a Film,"Collection of Actors
  "
"/api/films/update/title/{id}
  ",Film,PUT,Update Title of a Film,"Film
  "
/api/films/update/releaseyear/{id},Film,PUT,Update Release Year of a Film," Film
  "
/api/films/update/rentaldurtion/{id},Film,PUT,Update Rental Duration of a Film,"Film
  "
/api/films/update/rentalrate/{id},Film,PUT,Update Rental Rate of a Film," Film"
"/api/films/update/rating/{id}
  ",Film,PUT,Update  Rating of a Film,"Film
  "
/api/films/update/language/{id},Film,PUT,Update Language of a Film,Film
/api/films/update/category/{id},Film,PUT,Update Category of a Film,"Film
  "
"/api/actors/post
  ",Actors,POST,Add new Actor object in DB,"String: Record Created Successfully
  "
"/api/actors/lastname/{ln}
  ",Actors,GET,Search Actors by Last Name,"Collection of Actors
  "
